age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-02T19:31:38+00:00,False,,White,Person search,,Controlled drugs,,,51.503265,2278136.0,On or near Supermarket,-2.603361,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-02T19:54:11+00:00,False,,White,Person search,,,,,51.458210,2279125.0,On or near Callowhill Court,-2.587749,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-02T19:54:11+00:00,False,,White,Person search,,,,,51.458210,2279125.0,On or near Callowhill Court,-2.587749,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-02T22:02:11+00:00,False,,White,Person search,,Article for use in theft,,,,,,,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-02T22:51:31+00:00,True,,White,Person search,,Controlled drugs,,,51.441518,2278423.0,On or near Frances Mews,-2.599088,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-02T22:51:31+00:00,False,,White,Person search,,Controlled drugs,,,51.441518,2278423.0,On or near Frances Mews,-2.599088,
over 34,,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-03T12:17:23+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,,,51.493937,2280397.0,On or near Bonnington Walk,-2.564974,
25-34,Arrest,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-03T16:02:05+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.525605,2278624.0,On or near Shopping Area,-2.595396,
18-24,,True,,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-03T16:41:55+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,,,51.333827,2268557.0,On or near Lonsdale Avenue,-2.965857,
25-34,Community resolution,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-03T17:50:20+00:00,False,,White,Person search,,Controlled drugs,bu-community-resolution,Community resolution,51.383494,2288557.0,On or near A3039,-2.359535,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-03T23:43:20+00:00,False,,White,Person search,,Stolen goods,,,51.460322,2278544.0,On or near Parking Area,-2.596815,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-04T02:04:30+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,,,,,
