age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
10-17,Arrest,True,Other ethnic group - Not stated,Male,Psychoactive Substances Act 2016 (s36(2)),True,2023-01-28T04:27:57+00:00,False,,White,Person and Vehicle search,,Evidence of offences under the Act,bu-arrest,Arrest,51.428076,2279232.0,On or near Melvin Square,-2.586398,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,2023-01-28T09:40:07+00:00,False,,White,Person search,,,,,51.499434,2278707.0,On or near Penrith Gardens,-2.593437,
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-28T14:48:56+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.411942,2281389.0,On or near Showering Close,-2.551913,
over 34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-28T16:37:06+00:00,False,,Black,Person search,,Firearms,,,51.381317,2288481.0,On or near Kingsmead Square,-2.362923,
25-34,,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-28T17:31:02+00:00,False,,Asian,Person search,,Controlled drugs,,,51.464712,2279410.0,On or near William Street,-2.583946,
over 34,Arrest,True,Black/African/Caribbean/Black British - Caribbean,Male,Firearms Act 1968 (section 47),True,2023-01-28T19:50:36+00:00,False,,Black,Person search,,Firearms,bu-arrest,Arrest,,,,,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-28T20:55:21+00:00,False,,White,Person search,,Controlled drugs,,,51.500977,2278886.0,On or near Southmead Road,-2.592434,
18-24,Community resolution,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-28T23:31:36+00:00,False,,White,Person search,,Controlled drugs,bu-community-resolution,Community resolution,51.502582,2278220.0,On or near Lilac Close,-2.602223,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-28T23:34:16+00:00,False,,White,Person search,,Controlled drugs,,,51.465708,2277641.0,On or near Oakland Road,-2.610720,
10-17,,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-28T23:42:26+00:00,False,,Black,Person search,,Article for use in theft,,,51.451403,2278670.0,On or near King William Avenue,-2.594886,
18-24,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-29T00:56:21+00:00,False,,White,Person search,,,,,,,,,
18-24,,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-29T00:57:21+00:00,False,,Black,Person search,,Offensive weapons,,,51.456782,2278573.0,On or near Narrow Lewins Mead,-2.596208,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-29T00:58:13+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.501496,2278445.0,On or near Charfield Road,-2.598189,
18-24,Community resolution,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-29T00:58:13+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-community-resolution,Community resolution,51.501496,2278445.0,On or near Charfield Road,-2.598189,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-29T01:36:45+00:00,False,,White,Person search,,Controlled drugs,,,51.498199,2279143.0,On or near Monks Park Avenue,-2.587097,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-29T03:01:26+00:00,False,,White,Person search,,Offensive weapons,,,51.346860,2268538.0,On or near Florence Mews,-2.966547,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-29T04:10:06+00:00,False,,White,Person search,,Controlled drugs,,,51.350722,2267924.0,On or near Wadham Street,-2.980141,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-29T04:10:06+00:00,False,,White,Person search,,Controlled drugs,,,51.350722,2267924.0,On or near Wadham Street,-2.980141,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-29T04:49:42+00:00,False,,White,Person search,,Offensive weapons,,,51.346860,2268538.0,On or near Florence Mews,-2.966547,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-29T04:49:42+00:00,False,,White,Person search,,Offensive weapons,,,51.346860,2268538.0,On or near Florence Mews,-2.966547,
